"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"2","6684029-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct 2-story addition and substantial alterations to existing single family residence, per plan (Establish use as single family residence and construct new single family residence, and 2-story addition and substantial alterations to existing single family residence.  Review and process for 2 record numbers under 6684029-CN).",1,0,1,175466,"2018-12-04","","","","Corrections Required","1306 E REMINGTON CT","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6684029-CN",47.60572407,-122.31503272,"1306 E REMINGTON CT
SEATTLE, WA 98122
(47.60572407, -122.31503272)"
"3","6722296-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements at basement and ground floor of Caffe Vita warehouse in existing commercial structure, per plan.",0,0,0,69871,"2019-06-04","2019-10-02","2021-04-02","","Issued","1009 E PIKE ST","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6722296-CN",47.61376777,-122.31888241,"1009 E PIKE ST
SEATTLE, WA 98122
(47.61376777, -122.31888241)"
"4","6729432-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct a 2nd floor addition, substantial alterations, and establish an accessory dwelling unit in basement of a single-family residence, per plan.",1,0,0,210465,"2019-07-31","","","","Reviews In Process","1919 E CALHOUN ST","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6729432-CN",47.64077822,-122.30640973,"1919 E CALHOUN ST
SEATTLE, WA 98112
(47.64077822, -122.30640973)"
"5","6751344-DM","Multifamily","Residential","Demolition","","Construction of a new 7-story mixed used building. Existing retail building to be demolished.",0,0,24,1900000,"","","","","Additional Info Requested","2037 E MADISON ST","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6751344-DM",47.6178077,-122.30448846,"2037 E MADISON ST
SEATTLE, WA 98122
(47.6178077, -122.30448846)"
"6","6741080-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements for office space on 3rd floor of existing commercial structure, per plan.",0,0,0,35000,"2019-08-27","","","","Reviews Completed","2345 EASTLAKE AVE E","SEATTLE","WA",98102,"UNIMARK CONSTRUCTION","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6741080-CN",47.64113534,-122.32626183,"2345 EASTLAKE AVE E
SEATTLE, WA 98102
(47.64113534, -122.32626183)"
"7","6735812-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct new detached accessory dwelling unit (DADU) to existing single family residence, per plan.",0,0,1,50268,"2019-08-01","","","","Corrections Required","12008 BURKE AVE N","SEATTLE","WA",98133,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735812-CN",47.71629756,-122.33528605,"12008 BURKE AVE N
SEATTLE, WA 98133
(47.71629756, -122.33528605)"
"9","6726892-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and substantial alterations to existing single family residence, per plan.",1,0,0,147720,"2019-09-06","","","","Reviews In Process","2019 32ND AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6726892-CN",47.58457014,-122.29222802,"2019 32ND AVE S
SEATTLE, WA 98144
(47.58457014, -122.29222802)"
"10","6728759-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations and change of use from storage to commercial kitchen to a portion of the existing building, and occupy per plan.",0,0,0,150000,"2019-07-03","","","","Reviews In Process","1147 NW 53RD ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728759-CN",47.66699565,-122.37285729,"1147 NW 53RD ST
SEATTLE, WA 98107
(47.66699565, -122.37285729)"
"11","6722801-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct initial tenant improvement for spa in existing mixed-use structure, occupy per plan.",0,0,0,65000,"2019-09-03","","","","Reviews In Process","4755 FAUNTLEROY WAY SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6722801-CN",47.56015137,-122.38188059,"4755 FAUNTLEROY WAY SW
SEATTLE, WA 98116
(47.56015137, -122.38188059)"
"12","6734191-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations to portions of an existing single-family residence, per plans",1,0,0,25978,"2019-08-28","2019-10-02","2021-04-02","","Issued","1515 38TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6734191-CN",47.61439823,-122.28543332,"1515 38TH AVE
SEATTLE, WA 98122
(47.61439823, -122.28543332)"
