"","OBJECTID","RIVER_ID","SEGMENT_ID","WSR_RIVER_NAME","WSR_RIVER_SHORTNAME","GNIS_NAME","CLASSIFICATION","SEGMENT_MILES","TOTAL_MILES","BEGINNING_POINT_NARRATIVE","ENDING_POINT_NARRATIVE","AGENCY","ORV_CULTURE","ORV_FISH","ORV_GEOLOGIC","ORV_HISTORIC","ORV_RECREATIONAL","ORV_SCENIC","ORV_WILDLIFE","STATE","ORV_OTHER","ORV_ID","ORV_LIST","SEGMENT_ACRES","ADMINISTRATIVE_UNIT","COUNTY","SHAPELEN"
"1",12,"104","104.2002","Rogue Wild and Scenic River","Rogue","Upper Rogue River","Wild",6.1,40.3,"Approximately .1 mile downstream from Forest Road 6530760 (West Lake Road) crossing","Minehaha Creek","USFS","No","No","Yes","No","No","Yes","No","Oregon","Botany, Hydrology, Water Quality","","Geologic, Scenery, Botany, Hydrology, Water Quality",NA," ROGUE RIVER-SISKIYOU NATIONAL FOREST","DOUGLAS",0.131522841131553
"2",13,"104","104.2003","Rogue Wild and Scenic River","Rogue","Upper Rogue River","Scenic",33.7,40.3,"Minehaha Creek","Rogue River National Forest Boundary","USFS","Yes","No","Yes","Yes","No","Yes","No","Oregon","Botany, Hydrology, Water Quality","","Cultural, Geologic, Historic, Scenery, Botany, Hydrology, Water Quality",NA," ROGUE RIVER-SISKIYOU NATIONAL FOREST","DOUGLAS, JACKSON",0.57119296166163
"3",14,"105","105.2001","Wenaha Wild and Scenic River","Wenaha","Wenaha River","Wild",18.7,21.6,"Confluence of North and South Forks","Umatilla National Forest boundary","USFS","No","Yes","No","No","Yes","Yes","Yes","Oregon","","","Fish, Recreation, Scenery, Wildlife",NA," UMATILLA NATIONAL FOREST","WALLOWA",0.355036560452922
"4",15,"105","105.2002","Wenaha Wild and Scenic River","Wenaha","Wenaha River","Scenic",2.7,21.6,"Umatilla National Forest Boundary","Easternmost boundary of Wenaha State Wildlife Area","USFS","No","Yes","No","No","Yes","Yes","Yes","Oregon","","","Fish, Recreation, Scenery, Wildlife",NA," UMATILLA NATIONAL FOREST","WALLOWA",0.0512586129465343
"5",16,"105","105.2003","Wenaha Wild and Scenic River","Wenaha","Wenaha River","Recreational",0.2,21.6,"Easternmost boundary of Wenaha State Wildlife Area","Confluence with Grande Ronde WSR","USFS","No","Yes","No","No","Yes","Yes","Yes","Oregon","","","Fish, Recreation, Scenery, Wildlife",NA," UMATILLA NATIONAL FOREST","WALLOWA",0.00312884732922113
"6",17,"106","106.1001","West Little Owyhee Wild and Scenic River","West Little Owyhee","West Little Owyhee","Wild",NA,NA,"","","BLM","No","No","No","No","Yes","Yes","Yes","Oregon","","","Recreation, Scenery, Wildlife",NA,"","",0.992680627050251
"7",18,"107","107.1001","White Wild and Scenic River","White","White River","Scenic",NA,NA,"","","BLM","No","No","Yes","No","Yes","Yes","Yes","Oregon","Hydrology","","Geologic, Recreation, Scenery, Wildlife, Hydrology",NA,"","",0.0412414500951645
"8",19,"107","107.1002","White Wild and Scenic River","White","White River","Scenic",NA,NA,"","","BLM","No","No","No","No","No","No","No","Oregon","Hydrology","","",NA,"","",0.243431809325176
"9",20,"107","107.1003","White Wild and Scenic River","White","White River","Recreational",NA,NA,"","","BLM","No","No","No","No","No","No","No","Oregon","Hydrology","","",NA,"","",0.13525655652871
"10",21,"107","107.1004","White Wild and Scenic River","White","White River","Recreational",NA,NA,"","","BLM","No","No","No","No","No","No","No","Oregon","","","",NA,"","",0.0327319630604983
